x,y,z
7.0,0.0,0.0
6.062177826491071,3.4999999999999996,0.0
3.500000000000001,6.06217782649107,0.0
4.286263797015736e-16,7.0,0.0
-3.4999999999999982,6.062177826491071,0.0
-6.0621778264910695,3.500000000000002,0.0
-7.0,8.572527594031472e-16,0.0
-6.062177826491071,-3.4999999999999982,0.0
-3.500000000000003,-6.062177826491069,0.0
-1.2858791391047208e-15,-7.0,0.0
3.4999999999999956,-6.062177826491073,0.0
6.062177826491069,-3.500000000000003,0.0
6.315959713348663,0.0,2.0
5.4697815610390235,3.157979856674331,2.0
3.1579798566743325,5.4697815610390235,2.0
3.867409923248037e-16,6.315959713348663,2.0
-3.1579798566743302,5.4697815610390235,2.0
-5.469781561039023,3.157979856674334,2.0
-6.315959713348663,7.734819846496074e-16,2.0
-5.469781561039024,-3.15797985667433,2.0
-3.1579798566743342,-5.469781561039022,2.0
-1.1602229769744112e-15,-6.315959713348663,2.0
3.1579798566743276,-5.469781561039026,2.0
5.469781561039022,-3.1579798566743342,2.0
5.7144247806269215,0.0,4.0
4.948837028038232,2.8572123903134603,4.0
2.857212390313461,4.9488370280382314,4.0
3.4990760082815376e-16,5.7144247806269215,4.0
-2.8572123903134594,4.948837028038232,4.0
-4.9488370280382314,2.8572123903134625,4.0
-5.7144247806269215,6.998152016563075e-16,4.0
-4.948837028038233,-2.857212390313459,4.0
-2.8572123903134634,-4.948837028038231,4.0
-1.0497228024844613e-15,-5.7144247806269215,4.0
2.8572123903134568,-4.948837028038234,4.0
4.948837028038231,-2.8572123903134634,4.0
5.267949192431123,0.0,6.0
4.562177826491071,2.633974596215561,6.0
2.633974596215562,4.56217782649107,6.0
3.2256885582908294e-16,5.267949192431123,6.0
-2.6339745962155603,4.562177826491071,6.0
-4.56217782649107,2.6339745962155634,6.0
-5.267949192431123,6.451377116581659e-16,6.0
-4.562177826491072,-2.6339745962155603,6.0
-2.633974596215564,-4.5621778264910695,6.0
-9.677065674872488e-16,-5.267949192431123,6.0
2.633974596215558,-4.562177826491073,6.0
4.5621778264910695,-2.633974596215564,6.0
5.030384493975584,0.0,8.0
4.3564407625861845,2.5151922469877914,8.0
2.5151922469877923,4.356440762586184,8.0
3.080222134513838e-16,5.030384493975584,8.0
-2.5151922469877905,4.3564407625861845,8.0
-4.356440762586183,2.5151922469877936,8.0
-5.030384493975584,6.160444269027676e-16,8.0
-4.3564407625861845,-2.5151922469877905,8.0
-2.515192246987794,-4.356440762586183,8.0
-9.240666403541515e-16,-5.030384493975584,8.0
2.5151922469877883,-4.356440762586186,8.0
4.356440762586183,-2.515192246987794,8.0
5.030384493975584,0.0,10.0
4.3564407625861845,2.5151922469877914,10.0
2.5151922469877923,4.356440762586184,10.0
3.080222134513838e-16,5.030384493975584,10.0
-2.5151922469877905,4.3564407625861845,10.0
-4.356440762586183,2.5151922469877936,10.0
-5.030384493975584,6.160444269027676e-16,10.0
-4.3564407625861845,-2.5151922469877905,10.0
-2.515192246987794,-4.356440762586183,10.0
-9.240666403541515e-16,-5.030384493975584,10.0
2.5151922469877883,-4.356440762586186,10.0
4.356440762586183,-2.515192246987794,10.0
5.267949192431122,0.0,12.0
4.56217782649107,2.6339745962155607,12.0
2.6339745962155616,4.56217782649107,12.0
3.225688558290829e-16,5.267949192431122,12.0
-2.63397459621556,4.56217782649107,12.0
-4.5621778264910695,2.633974596215563,12.0
-5.267949192431122,6.451377116581658e-16,12.0
-4.562177826491071,-2.63397459621556,12.0
-2.6339745962155634,-4.562177826491069,12.0
-9.677065674872486e-16,-5.267949192431122,12.0
2.6339745962155576,-4.562177826491072,12.0
4.562177826491069,-2.6339745962155634,12.0
5.714424780626921,0.0,14.0
4.9488370280382314,2.85721239031346,14.0
2.8572123903134607,4.948837028038231,14.0
3.499076008281537e-16,5.714424780626921,14.0
-2.857212390313459,4.9488370280382314,14.0
-4.948837028038231,2.857212390313462,14.0
-5.714424780626921,6.998152016563074e-16,14.0
-4.948837028038232,-2.8572123903134585,14.0
-2.857212390313463,-4.94883702803823,14.0
-1.0497228024844611e-15,-5.714424780626921,14.0
2.8572123903134563,-4.948837028038233,14.0
4.94883702803823,-2.857212390313463,14.0
6.315959713348662,0.0,16.0
5.469781561039023,3.1579798566743307,16.0
3.157979856674332,5.469781561039023,16.0
3.8674099232480367e-16,6.315959713348662,16.0
-3.15797985667433,5.469781561039023,16.0
-5.469781561039022,3.1579798566743333,16.0
-6.315959713348662,7.734819846496073e-16,16.0
-5.4697815610390235,-3.1579798566743293,16.0
-3.157979856674334,-5.469781561039021,16.0
-1.160222976974411e-15,-6.315959713348662,16.0
3.157979856674327,-5.469781561039025,16.0
5.469781561039021,-3.157979856674334,16.0
7.0,0.0,18.0
6.062177826491071,3.4999999999999996,18.0
3.500000000000001,6.06217782649107,18.0
4.286263797015736e-16,7.0,18.0
-3.4999999999999982,6.062177826491071,18.0
-6.0621778264910695,3.500000000000002,18.0
-7.0,8.572527594031472e-16,18.0
-6.062177826491071,-3.4999999999999982,18.0
-3.500000000000003,-6.062177826491069,18.0
-1.2858791391047208e-15,-7.0,18.0
3.4999999999999956,-6.062177826491073,18.0
6.062177826491069,-3.500000000000003,18.0
