x,y,z
10.0,0.0,0.0
8.660254037844387,4.999999999999999,0.0
5.000000000000001,8.660254037844386,0.0
6.123233995736766e-16,10.0,0.0
-4.999999999999998,8.660254037844387,0.0
-8.660254037844386,5.0000000000000036,0.0
-10.0,1.2246467991473533e-15,0.0
-8.660254037844389,-4.999999999999997,0.0
-5.000000000000004,-8.660254037844384,0.0
-1.8369701987210296e-15,-10.0,0.0
4.999999999999993,-8.66025403784439,0.0
8.660254037844384,-5.000000000000004,0.0
10.0,0.0,2.0
8.660254037844387,4.999999999999999,2.0
5.000000000000001,8.660254037844386,2.0
6.123233995736766e-16,10.0,2.0
-4.999999999999998,8.660254037844387,2.0
-8.660254037844386,5.0000000000000036,2.0
-10.0,1.2246467991473533e-15,2.0
-8.660254037844389,-4.999999999999997,2.0
-5.000000000000004,-8.660254037844384,2.0
-1.8369701987210296e-15,-10.0,2.0
4.999999999999993,-8.66025403784439,2.0
8.660254037844384,-5.000000000000004,2.0
10.0,0.0,4.0
8.660254037844387,4.999999999999999,4.0
5.000000000000001,8.660254037844386,4.0
6.123233995736766e-16,10.0,4.0
-4.999999999999998,8.660254037844387,4.0
-8.660254037844386,5.0000000000000036,4.0
-10.0,1.2246467991473533e-15,4.0
-8.660254037844389,-4.999999999999997,4.0
-5.000000000000004,-8.660254037844384,4.0
-1.8369701987210296e-15,-10.0,4.0
4.999999999999993,-8.66025403784439,4.0
8.660254037844384,-5.000000000000004,4.0
10.0,0.0,6.0
8.660254037844387,4.999999999999999,6.0
5.000000000000001,8.660254037844386,6.0
6.123233995736766e-16,10.0,6.0
-4.999999999999998,8.660254037844387,6.0
-8.660254037844386,5.0000000000000036,6.0
-10.0,1.2246467991473533e-15,6.0
-8.660254037844389,-4.999999999999997,6.0
-5.000000000000004,-8.660254037844384,6.0
-1.8369701987210296e-15,-10.0,6.0
4.999999999999993,-8.66025403784439,6.0
8.660254037844384,-5.000000000000004,6.0
10.0,0.0,8.0
8.660254037844387,4.999999999999999,8.0
5.000000000000001,8.660254037844386,8.0
6.123233995736766e-16,10.0,8.0
-4.999999999999998,8.660254037844387,8.0
-8.660254037844386,5.0000000000000036,8.0
-10.0,1.2246467991473533e-15,8.0
-8.660254037844389,-4.999999999999997,8.0
-5.000000000000004,-8.660254037844384,8.0
-1.8369701987210296e-15,-10.0,8.0
4.999999999999993,-8.66025403784439,8.0
8.660254037844384,-5.000000000000004,8.0
10.0,0.0,10.0
8.660254037844387,4.999999999999999,10.0
5.000000000000001,8.660254037844386,10.0
6.123233995736766e-16,10.0,10.0
-4.999999999999998,8.660254037844387,10.0
-8.660254037844386,5.0000000000000036,10.0
-10.0,1.2246467991473533e-15,10.0
-8.660254037844389,-4.999999999999997,10.0
-5.000000000000004,-8.660254037844384,10.0
-1.8369701987210296e-15,-10.0,10.0
4.999999999999993,-8.66025403784439,10.0
8.660254037844384,-5.000000000000004,10.0
10.0,0.0,12.0
8.660254037844387,4.999999999999999,12.0
5.000000000000001,8.660254037844386,12.0
6.123233995736766e-16,10.0,12.0
-4.999999999999998,8.660254037844387,12.0
-8.660254037844386,5.0000000000000036,12.0
-10.0,1.2246467991473533e-15,12.0
-8.660254037844389,-4.999999999999997,12.0
-5.000000000000004,-8.660254037844384,12.0
-1.8369701987210296e-15,-10.0,12.0
4.999999999999993,-8.66025403784439,12.0
8.660254037844384,-5.000000000000004,12.0
10.0,0.0,14.0
8.660254037844387,4.999999999999999,14.0
5.000000000000001,8.660254037844386,14.0
6.123233995736766e-16,10.0,14.0
-4.999999999999998,8.660254037844387,14.0
-8.660254037844386,5.0000000000000036,14.0
-10.0,1.2246467991473533e-15,14.0
-8.660254037844389,-4.999999999999997,14.0
-5.000000000000004,-8.660254037844384,14.0
-1.8369701987210296e-15,-10.0,14.0
4.999999999999993,-8.66025403784439,14.0
8.660254037844384,-5.000000000000004,14.0
10.0,0.0,16.0
8.660254037844387,4.999999999999999,16.0
5.000000000000001,8.660254037844386,16.0
6.123233995736766e-16,10.0,16.0
-4.999999999999998,8.660254037844387,16.0
-8.660254037844386,5.0000000000000036,16.0
-10.0,1.2246467991473533e-15,16.0
-8.660254037844389,-4.999999999999997,16.0
-5.000000000000004,-8.660254037844384,16.0
-1.8369701987210296e-15,-10.0,16.0
4.999999999999993,-8.66025403784439,16.0
8.660254037844384,-5.000000000000004,16.0
10.0,0.0,18.0
8.660254037844387,4.999999999999999,18.0
5.000000000000001,8.660254037844386,18.0
6.123233995736766e-16,10.0,18.0
-4.999999999999998,8.660254037844387,18.0
-8.660254037844386,5.0000000000000036,18.0
-10.0,1.2246467991473533e-15,18.0
-8.660254037844389,-4.999999999999997,18.0
-5.000000000000004,-8.660254037844384,18.0
-1.8369701987210296e-15,-10.0,18.0
4.999999999999993,-8.66025403784439,18.0
8.660254037844384,-5.000000000000004,18.0
